team_1,team_2,winner,margin,ground,ground_url,match_date,scorecard,scorecard_url
Pakistan,Sri Lanka,Sri Lanka,25 runs,Dubai (DSC),http://stats.espncricinfo.com/ci/content/ground/392627.html,2011-11-14,ODI # 3213,http://stats.espncricinfo.com/ci/engine/match/530428.html
Pakistan,Sri Lanka,Pakistan,21 runs,Dubai (DSC),http://stats.espncricinfo.com/ci/content/ground/392627.html,2011-11-18,ODI # 3214,http://stats.espncricinfo.com/ci/engine/match/530429.html
Pakistan,Sri Lanka,Pakistan,26 runs,Sharjah,http://stats.espncricinfo.com/ci/content/ground/59392.html,2011-11-20,ODI # 3215,http://stats.espncricinfo.com/ci/engine/match/530430.html
Pakistan,Sri Lanka,Pakistan,3 wickets,Abu Dhabi,http://stats.espncricinfo.com/ci/content/ground/59396.html,2011-11-23,ODI # 3216,http://stats.espncricinfo.com/ci/engine/match/530431.html
India,West Indies,India,1 wicket,Cuttack,http://stats.espncricinfo.com/ci/content/ground/58027.html,2011-11-29,ODI # 3217,http://stats.espncricinfo.com/ci/engine/match/536929.html
Bangladesh,Pakistan,Pakistan,5 wickets,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2011-12-01,ODI # 3218,http://stats.espncricinfo.com/ci/engine/match/538069.html
India,West Indies,India,5 wickets,Visakhapatnam,http://stats.espncricinfo.com/ci/content/ground/58547.html,2011-12-02,ODI # 3219,http://stats.espncricinfo.com/ci/engine/match/536930.html
Bangladesh,Pakistan,Pakistan,76 runs,Dhaka,http://stats.espncricinfo.com/ci/content/ground/236761.html,2011-12-03,ODI # 3220,http://stats.espncricinfo.com/ci/engine/match/538070.html
India,West Indies,West Indies,16 runs,Ahmedabad,http://stats.espncricinfo.com/ci/content/ground/57851.html,2011-12-05,ODI # 3221,http://stats.espncricinfo.com/ci/engine/match/536931.html
Bangladesh,Pakistan,Pakistan,58 runs,Chattogram,http://stats.espncricinfo.com/ci/content/ground/56658.html,2011-12-06,ODI # 3222,http://stats.espncricinfo.com/ci/engine/match/538071.html
India,West Indies,India,153 runs,Indore,http://stats.espncricinfo.com/ci/content/ground/58150.html,2011-12-08,ODI # 3223,http://stats.espncricinfo.com/ci/engine/match/536932.html
India,West Indies,India,34 runs,Chennai,http://stats.espncricinfo.com/ci/content/ground/58008.html,2011-12-11,ODI # 3224,http://stats.espncricinfo.com/ci/engine/match/536933.html
South Africa,Sri Lanka,South Africa,258 runs,Paarl,http://stats.espncricinfo.com/ci/content/ground/59147.html,2012-01-11,ODI # 3225,http://stats.espncricinfo.com/ci/engine/match/514035.html
South Africa,Sri Lanka,South Africa,5 wickets,East London,http://stats.espncricinfo.com/ci/content/ground/59098.html,2012-01-14,ODI # 3226,http://stats.espncricinfo.com/ci/engine/match/514036.html
South Africa,Sri Lanka,South Africa,4 runs,Bloemfontein,http://stats.espncricinfo.com/ci/content/ground/59042.html,2012-01-17,ODI # 3227,http://stats.espncricinfo.com/ci/engine/match/514037.html
South Africa,Sri Lanka,Sri Lanka,5 wickets,Kimberley,http://stats.espncricinfo.com/ci/content/ground/59135.html,2012-01-20,ODI # 3228,http://stats.espncricinfo.com/ci/engine/match/514038.html
South Africa,Sri Lanka,Sri Lanka,2 wickets,Johannesburg,http://stats.espncricinfo.com/ci/content/ground/59120.html,2012-01-22,ODI # 3229,http://stats.espncricinfo.com/ci/engine/match/514039.html
New Zealand,Zimbabwe,New Zealand,90 runs,Dunedin,http://stats.espncricinfo.com/ci/content/ground/58827.html,2012-02-03,ODI # 3230,http://stats.espncricinfo.com/ci/engine/match/520592.html
Australia,India,Australia,65 runs,Melbourne,http://stats.espncricinfo.com/ci/content/ground/56441.html,2012-02-05,ODI # 3231,http://stats.espncricinfo.com/ci/engine/match/518956.html
