team,name,url,style,batting_style,bowling_style,avg_age,bat_ave,bat_sr,bowl_ave,bowl_econ,bowl_sr
South Africa,"RK Kleinveldt, ",http://www.espncricinfo.com/ci/content/player/45949.html,Bowler,Right-hand bat,Right-arm fast-medium,10982.666666666666,15.0,84.67,37.33,5.23,42.70000000000001
Sri Lanka,ST Jayasuriya,http://www.espncricinfo.com/ci/content/player/49209.html,Allrounder,Left-hand bat,Slow left-arm orthodox,11475.918854415275,32.36000000000014,91.20000000000003,36.75,4.779999999999976,46.0
Sri Lanka,"SL Malinga, ",http://www.espncricinfo.com/ci/content/player/49758.html,Bowler,Right-hand bat,Right-arm fast,10068.363636363636,7.050000000000006,75.65000000000006,29.029999999999976,5.330000000000003,32.59999999999997
Sri Lanka,AK Perera,http://www.espncricinfo.com/ci/content/player/300629.html,Allrounder,Right-hand bat,Slow left-arm orthodox,9617.666666666666,13.0,67.24,199.0,5.5,201.0
Sri Lanka,HDRL Thirimanne,http://www.espncricinfo.com/ci/content/player/301236.html,Top-order batsman,Left-hand bat,Right-arm medium-fast,9097.540816326531,34.650000000000055,71.32999999999994,31.329999999999956,5.4200000000000035,34.599999999999945
Sri Lanka,TAM Siriwardana,http://www.espncricinfo.com/ci/content/player/222354.html,Allrounder,Left-hand bat,Slow left-arm orthodox,11252.636363636364,23.31,98.46000000000002,58.880000000000024,5.39,65.40000000000002
Sri Lanka,SMA Priyanjan,http://www.espncricinfo.com/ci/content/player/233802.html,Allrounder,Right-hand bat,Right-arm offbreak,9074.2,23.32999999999999,80.45000000000002,46.600000000000016,5.269999999999998,53.0
Sri Lanka,KC Sangakkara,http://www.espncricinfo.com/ci/content/player/50710.html,Wicketkeeper batsman,Left-hand bat,Right-arm offbreak,11025.542465753424,41.979999999999684,78.86000000000037,202.07671232876712,24.02191780821918,186.25205479452055
Sri Lanka,DM de Silva,http://www.espncricinfo.com/ci/content/player/465793.html,Allrounder,Right-hand bat,Right-arm offbreak,9597.939393939394,26.190000000000023,77.65000000000005,38.92999999999999,5.349999999999997,43.59999999999999
Sri Lanka,M Muralitharan,http://www.espncricinfo.com/ci/content/player/49636.html,Bowler,Right-hand bat,Right-arm offbreak,10894.658436213991,6.799999999999971,77.56000000000002,23.079999999999945,3.9299999999999797,35.19999999999991
Sri Lanka,"MF Maharoof, ",http://www.espncricinfo.com/ci/content/player/49638.html,Allrounder,Right-hand bat,Right-arm fast-medium,8404.25,19.519999999999992,86.01,28.059999999999988,4.89,34.29999999999999
Sri Lanka,SMSM Senanayake,http://www.espncricinfo.com/ci/content/player/273439.html,Bowler,Right-hand bat,Right-arm offbreak,10539.969696969696,13.180000000000005,93.23999999999992,35.35,4.76,44.40000000000001
Sri Lanka,CRD Fernando,http://www.espncricinfo.com/ci/content/player/48835.html,Bowler,Right-hand bat,Right-arm fast-medium,9607.841121495327,9.190000000000026,60.96000000000003,30.199999999999953,5.199999999999997,34.69999999999994
Sri Lanka,PADLR Sandakan,http://www.espncricinfo.com/ci/content/player/429738.html,Bowler,Right-hand bat,Slow left-arm chinaman,9664.2,4.420000000000001,35.63,57.0,6.450000000000002,53.0
Sri Lanka,LD Chandimal,http://www.espncricinfo.com/ci/content/player/300628.html,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak,8947.7578125,32.42000000000005,74.12000000000003,200.5859375,24.03125,197.5390625
Sri Lanka,MA Aponso,http://www.espncricinfo.com/ci/content/player/429748.html,Bowler,Right-hand bat,Slow left-arm orthodox,8685.142857142857,3.329999999999999,22.22,37.699999999999996,5.339999999999999,42.300000000000004
Sri Lanka,"LD Chandimal, ",http://www.espncricinfo.com/ci/content/player/300628.html,Wicketkeeper batsman,Right-hand bat,Right-arm offbreak,9125.333333333334,32.42000000000001,74.12,199.44444444444446,24.0,201.0
Sri Lanka,KMDN Kulasekara,http://www.espncricinfo.com/ci/content/player/49535.html,Bowler,Right-hand bat,Right-arm fast-medium,10483.67441860465,15.43000000000002,81.45999999999984,33.92000000000005,4.899999999999989,41.5
Sri Lanka,HMRKB Herath,http://www.espncricinfo.com/ci/content/player/49178.html,Bowler,Left-hand bat,Slow left-arm orthodox,12410.075,9.33,64.51000000000005,31.910000000000007,4.370000000000003,43.79999999999997
Sri Lanka,RAS Lakmal,http://www.espncricinfo.com/ci/content/player/49619.html,Bowler,Right-hand bat,Right-arm fast-medium,10460.951612903225,8.199999999999992,55.849999999999945,31.61999999999995,5.399999999999998,35.09999999999996
Sri Lanka,JDF Vandersay,http://www.espncricinfo.com/ci/content/player/370040.html,Bowler,Right-hand bat,Legbreak,9888.0,11.83,42.769999999999996,43.0,5.740000000000001,44.89999999999999
Sri Lanka,MD Shanaka,http://www.espncricinfo.com/ci/content/player/437316.html,Allrounder,Right-hand bat,Right-arm medium,9559.2,21.800000000000008,114.32999999999997,31.279999999999987,6.079999999999999,30.800000000000008
Sri Lanka,N Pradeep,http://www.espncricinfo.com/ci/content/player/324358.html,Bowler,Right-hand bat,Right-arm fast-medium,11092.035714285714,5.400000000000003,42.85,41.86,6.129999999999997,40.89999999999999
Sri Lanka,SL Malinga,http://www.espncricinfo.com/ci/content/player/49758.html,Bowler,Right-hand bat,Right-arm fast,10517.953642384105,7.04999999999998,75.64999999999979,29.030000000000065,5.330000000000012,32.60000000000001
Sri Lanka,NLTC Perera,http://www.espncricinfo.com/ci/content/player/233514.html,Allrounder,Left-hand bat,Right-arm medium-fast,9370.04918032787,20.640000000000015,112.34000000000012,31.15999999999995,5.860000000000011,31.80000000000007
Sri Lanka,DPMD Jayawardene,http://www.espncricinfo.com/ci/content/player/49289.html,Batsman,Right-hand bat,Right-arm medium,10739.928039702234,33.37000000000025,78.95999999999937,70.36999999999978,5.690000000000042,74.09999999999948
Sri Lanka,HDPK Dharmasena,http://www.espncricinfo.com/ci/content/player/48469.html,Allrounder,Right-hand bat,Right-arm offbreak,10065.25,22.619999999999948,65.02999999999999,36.21000000000003,4.269999999999997,50.699999999999925
Sri Lanka,"M Muralitharan, ",http://www.espncricinfo.com/ci/content/player/49636.html,Bowler,Right-hand bat,Right-arm offbreak,10773.170454545454,6.8,77.56000000000013,23.07999999999997,3.9300000000000055,35.19999999999996
Sri Lanka,AD Mathews,http://www.espncricinfo.com/ci/content/player/49764.html,Allrounder,Right-hand bat,Right-arm medium,9644.491329479768,42.35999999999988,83.38999999999983,34.21000000000003,4.610000000000011,44.399999999999864
Sri Lanka,BMAJ Mendis,http://www.espncricinfo.com/ci/content/player/49700.html,Allrounder,Left-hand bat,Legbreak,11039.219512195123,20.13,85.07000000000004,40.5,5.0800000000000045,47.70000000000003
Sri Lanka,PC de Silva,http://www.espncricinfo.com/ci/content/player/345825.html,Allrounder,Left-hand bat,Slow left-arm orthodox,8999.0,15.659999999999998,83.92,51.199999999999996,4.86,63.199999999999996
Sri Lanka,"HDPK Dharmasena, ",http://www.espncricinfo.com/ci/content/player/48469.html,Allrounder,Right-hand bat,Right-arm offbreak,9888.91304347826,22.62,65.03000000000006,36.21000000000002,4.270000000000001,50.7
Sri Lanka,S Prasanna,http://www.espncricinfo.com/ci/content/player/268740.html,Allrounder,Right-hand bat,Legbreak,10837.888888888889,12.379999999999997,94.59999999999995,55.21000000000002,5.4499999999999975,60.70000000000002
